<RUS> Aaron_S._Daggett | award | Purple_Heart
<RUS> India | largestCity | Mumbai
<RUS> Karnataka | has to its northeast | Telangana
<RUS> Karnataka | has to its northeast | Telangana
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> Romania | ethnicGroup | Germans_of_Romania
<RUS> School of Business and Social Sciences at the Aarhus University | academicStaffSize | 737
<RUS> School of Business and Social Sciences at the Aarhus University | academicStaffSize | 737
<RUS> School of Business and Social Sciences at the Aarhus University | academicStaffSize | 737
<RUS> School of Business and Social Sciences at the Aarhus University | academicStaffSize | 737
<RUS> School of Business and Social Sciences at the Aarhus University | city | Aarhus
<RUS> School of Business and Social Sciences at the Aarhus University | city | Aarhus
<RUS> School of Business and Social Sciences at the Aarhus University | city | Aarhus
<RUS> School of Business and Social Sciences at the Aarhus University | city | Aarhus
<RUS> School of Business and Social Sciences at the Aarhus University | city | Aarhus
<RUS> School of Business and Social Sciences at the Aarhus University | dean | "Thomas Pallesen"
<RUS> Visvesvaraya_Technological_University | city | Belgaum
<RUS> Visvesvaraya_Technological_University | city | Belgaum
<RUS> 1955_Dodge | alternativeName | "Dodge Coronet"
<RUS> 1955_Dodge | engine | 230 (cubic inches)
<RUS> AIDA_Cruises | location | Rostock
<RUS> AIDAluna | activeYearsStartDate | 2009-03-22
<RUS> AIDAluna | shipClass | "Sphinx class cruise ship"
<RUS> AIDAstella | builder | Meyer_Werft
<RUS> AIDAstella | christeningDate | 2013-03-16
<RUS> AIDAstella | shipInService | 2013-03-17
<RUS> ALCO_RS-3 | engine | Four-stroke_engine
<RUS> ALV_X-1 | manufacturer | Alliant_Techsystems
<RUS> AMC_Matador | relatedMeanOfTransportation | AMC_Ambassador
<RUS> Abarth_1000_GT_Coupé | productionEndYear | 1958
<RUS> Acura_TLX | engine | 3.5 (litres)
<RUS> Acura_TLX | engine | Honda_K_engine
<RUS> Acura_TLX | transmission | "9-speed ZF 9HP automatic (V6)"
<RUS> Alfa_Romeo_164 | class | Executive_car
<RUS> Alfa_Romeo_164 | relatedMeanOfTransportation | Fiat_Croma
<RUS> Alhambra | maidenVoyage | 1855-07-07
<RUS> Alhambra | shipBeam | 8.3 m
<RUS> Alhambra | topSpeed | 18.52
<RUS> Antares_(rocket) | finalFlight | 2014-10-28
<RUS> Ariane_5 | maidenFlight | 2005-08-11
<RUS> Ariane_5 | manufacturer | Airbus_Defence_and_Space
<RUS> Atlas_II | countryOrigin | United_States
<RUS> Atlas_II | finalFlight | 1998-03-16
<RUS> Audi | division | Audi_e-tron
<RUS> Audi_A1 | assembly | Audi_Brussels
<RUS> Caterpillar_Inc. | foundationPlace | California
<RUS> Caterpillar_Inc. | keyPerson | Douglas_R._Oberhelman
<RUS> Caterpillar_Inc. | location | Peoria,_Illinois
<RUS> Delta_II | launchSite | Cape_Canaveral_Air_Force_Station
<RUS> Finland | language | Sami_languages
<RUS> Germany | leaderName | Stanislaw_Tillich
<RUS> Guiana_Space_Centre | headquarter | Kourou,_French_Guiana
<RUS> Honda | division | Acura
<RUS> Lancia_Thema | relatedMeanOfTransportation | Alfa_Romeo_164
<RUS> Meyer_Werft | location | Germany
<RUS> Meyer_Werft | location | Papenburg
<RUS> A-Rosa_Luna | christeningDate | 2005-04-07
<RUS> AIDAluna | operator | AIDA_Cruises
<RUS> AIDAstella | completionDate | 2013-03-11
<RUS> AIDAstella | maidenVoyage | 2013-03-17
<RUS> AIDAstella | operator | AIDA_Cruises
<RUS> ALV_X-1 | launchSite | Mid-Atlantic_Regional_Spaceport
<RUS> AMC_Matador | alternativeName | "American Motors Matador"
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | status | "Sold to the Netherlands 1 April 1948"
<RUS> Abarth_1000_GT_Coupé | engine | Straight-four_engine
<RUS> Acura_TLX | layout | AWD_(vehicle)
<RUS> Acura_TLX | relatedMeanOfTransportation | Honda_Accord
<RUS> Alfa_Romeo_164 | assembly | Arese
<RUS> Alfa_Romeo_164 | relatedMeanOfTransportation | Lancia_Thema
<RUS> Alfa_Romeo_164 | transmission | "4-speed automatic (ZF 4HP18QE)"
<RUS> Alhambra | builder | Samuda_Brothers
<RUS> Alhambra | status | "Wrecked"
<RUS> Alvis_Speed_25 | engine | Straight-six_engine
<RUS> Alvis_Speed_25 | modelStartYear | 1937
<RUS> American_submarine_NR-1 | shipDraft | 4.6 m
<RUS> Antares_(rocket) | launchSite | Mid-Atlantic_Regional_Spaceport_Launch_Pad_0
<RUS> Argentina | leaderName | Gabriela_Michetti
<RUS> Ariane_5 | launchSite | Guiana_Space_Centre
<RUS> Aston_Martin_V8 | bodyStyle | Convertible
<RUS> Aston_Martin_V8 | manufacturer | Aston_Martin
<RUS> Aston_Martin_Virage | manufacturer | Aston_Martin
<RUS> Atlas_II | launchSite | Vandenberg_Air_Force_Base
<RUS> Audi | foundedBy | August_Horch
<RUS> Audi_A1 | relatedMeanOfTransportation | SEAT_Ibiza
<RUS> Costa_Crociere | location | Genoa
<RUS> DeSoto_Custom | relatedMeanOfTransportation | Chrysler_Newport
<RUS> Fiat_Croma | relatedMeanOfTransportation | Alfa_Romeo_164
<RUS> Germany | demonym | Germans
<RUS> Germany | leaderName | Norbert_Lammert
<RUS> Gruppo_Bertone | foundedBy | Giovanni_Bertone
<RUS> Honda_K_engine | manufacturer | Honda
<RUS> United_States | anthem | The_Star-Spangled_Banner
<RUS> United_States | ethnicGroup | Native_Americans_in_the_United_States
<RUS> 1955_Dodge | alternativeName | "Dodge Custom Royal"
<RUS> 1955_Dodge | alternativeName | "Dodge Suburban"
<RUS> 1955_Dodge | bodyStyle | Convertible
<RUS> 1955_Dodge | bodyStyle | Hardtop
<RUS> 1955_Dodge | bodyStyle | Sedan_(automobile)
<RUS> 1955_Dodge | bodyStyle | Station_wagon
<RUS> 1955_Dodge | engine | AMC_V8_engine
<RUS> 1955_Dodge | engine | Straight-six_engine
<RUS> 1955_Dodge | engine | V8_engine
<RUS> 1955_Dodge | manufacturer | Dodge
<RUS> 1955_Dodge | relatedMeanOfTransportation | DeSoto_Custom
<RUS> 1955_Dodge | relatedMeanOfTransportation | Plymouth_Plaza
<RUS> 1955_Dodge | transmission | "3-speed automatic"
<RUS> 1955_Dodge | wheelbase | 120.0 (inches)
<RUS> A-Rosa_Luna | builder | "Neptun Werft, Warnemünde,"
<RUS> A-Rosa_Luna | builder | Germany
<RUS> A-Rosa_Luna | builder | Neptun_Werft
<RUS> A-Rosa_Luna | builder | Rostock
<RUS> A-Rosa_Luna | completionDate | 2005-04-06
<RUS> A-Rosa_Luna | length | 125800.0 (millimetres)
<RUS> A-Rosa_Luna | powerType | MTU_Friedrichshafen
<RUS> A-Rosa_Luna | shipClass | Cruise_ship
<RUS> A-Rosa_Luna | shipDisplacement | 1850.0 (tonnes)
<RUS> A-Rosa_Luna | shipLaunch | 2004-12-16
<RUS> A-Rosa_Luna | shipOrdered | 2004-01-22
<RUS> A-Rosa_Luna | shipPower | "2 × MTU 16V 2000 M60 engine"
<RUS> A-Rosa_Luna | topSpeed | 24.0
<RUS> AIDA_Cruises | location | Germany
<RUS> AIDAluna | builder | Meyer_Werft
<RUS> AIDAluna | christeningDate | 2009-04-04
<RUS> AIDAluna | length | 252000.0 (millimetres)
<RUS> AIDAluna | maidenVoyage | 2009-03-22
<RUS> AIDAluna | owner | AIDA_Cruises
<RUS> AIDAluna | powerType | Caterpillar_Inc.
<RUS> AIDAluna | shipBeam | 32.2
<RUS> AIDAluna | shipInService | 2009-03-22
<RUS> AIDAluna | status | "In service"
<RUS> AIDAluna | topSpeed | 40.744
<RUS> AIDAstella | activeYearsStartDate | 2013-03-17
<RUS> AIDAstella | length | 253260.0 (millimetres)
<RUS> AIDAstella | owner | Costa_Crociere
<RUS> AIDAstella | shipBeam | 32.2
<RUS> AIDAstella | shipClass | "Sphinx-class cruise ship"
<RUS> AIDAstella | shipLaidDown | 2008-12-17
<RUS> AIDAstella | status | "In service"
<RUS> AIDAstella | topSpeed | 38.892
<RUS> ALCO_RS-3 | buildDate | "May 1950 - August 1956"
<RUS> ALCO_RS-3 | builder | American_Locomotive_Company
<RUS> ALCO_RS-3 | builder | Montreal_Locomotive_Works
<RUS> ALCO_RS-3 | cylinderCount | 12
<RUS> ALCO_RS-3 | engine | V12_engine
<RUS> ALCO_RS-3 | length | 17068.8 (millimetres)
<RUS> ALCO_RS-3 | powerType | Diesel-electric_transmission
<RUS> ALCO_RS-3 | totalProduction | 1418
<RUS> ALV_X-1 | countryOrigin | United_States
<RUS> ALV_X-1 | diameter | 1.524 (metres)
<RUS> ALV_X-1 | failedLaunches | 1
<RUS> ALV_X-1 | rocketStages | 2
<RUS> ALV_X-1 | totalLaunches | 1
<RUS> AMC_Matador | alternativeName | "Rambler Matador"
<RUS> AMC_Matador | alternativeName | "VAM Classic"
<RUS> AMC_Matador | assembly | "Australia"
<RUS> AMC_Matador | assembly | "Mexico"
<RUS> AMC_Matador | assembly | "USA"
<RUS> AMC_Matador | assembly | Australian_Motor_Industries
<RUS> AMC_Matador | assembly | Kenosha,_Wisconsin
<RUS> AMC_Matador | assembly | Mexico_City
<RUS> AMC_Matador | assembly | Port_Melbourne,_Victoria
<RUS> AMC_Matador | assembly | Thames,_New_Zealand
<RUS> AMC_Matador | bodyStyle | Coupé
<RUS> AMC_Matador | bodyStyle | Hardtop
<RUS> AMC_Matador | bodyStyle | Station_wagon
<RUS> AMC_Matador | class | Full-size_car
<RUS> AMC_Matador | class | Mid-size_car
<RUS> AMC_Matador | designer | Richard_A._Teague
<RUS> AMC_Matador | engine | AMC_V8_engine
<RUS> AMC_Matador | engine | AMC_straight-6_engine
<RUS> AMC_Matador | manufacturer | American_Motors
<RUS> AMC_Matador | modelYears | 1971
<RUS> AMC_Matador | modelYears | 1974
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | builder | Cammell_Laird
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | country | Argentina
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | length | 192000.0 (millimetres)
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | shipBeam | 24.4
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | status | "Provided spare parts for NAeL Minas Geraisand and remainder was scrapped in 2000"
<RUS> ARA_Veinticinco_de_Mayo_(V-2) | status | "Sold to Argentina 15 October 1968"
<RUS> Abarth | foundationPlace | Bologna
<RUS> Abarth | foundationPlace | Italy
<RUS> Abarth | foundedBy | Carlo_Abarth
<RUS> Abarth_1000_GT_Coupé | bodyStyle | "Two door coupé"
<RUS> Abarth_1000_GT_Coupé | bodyStyle | Coupé
<RUS> Abarth_1000_GT_Coupé | designer | Gruppo_Bertone
<RUS> Abarth_1000_GT_Coupé | manufacturer | Abarth
<RUS> Abarth_1000_GT_Coupé | productionStartYear | 1958
<RUS> Abarth_1000_GT_Coupé | wheelbase | 2160.0 (millimetres)
<RUS> Abarth_1000_GT_Coupé | width | 1.55
<RUS> Acura_TLX | assembly | Marysville,_Ohio
<RUS> Acura_TLX | assembly | Marysville_Auto_Plant
<RUS> Acura_TLX | class | Luxury_vehicle
<RUS> Acura_TLX | class | Mid-size_car
<RUS> Acura_TLX | engine | 2.4 (litres)
<RUS> Acura_TLX | engine | Honda_J_engine
<RUS> Acura_TLX | engine | Inline-four_engine
<RUS> Acura_TLX | engine | V6_engine
<RUS> Acura_TLX | layout | "front-wheel drive / all-wheel drive"
<RUS> Acura_TLX | layout | Front-engine_design
<RUS> Acura_TLX | layout | Front-wheel_drive
<RUS> Acura_TLX | manufacturer | Honda
<RUS> Airbus_Defence_and_Space | parentCompany | Airbus_Group
<RUS> Aleksey_Chirikov_(icebreaker) | builder | Arctech_Helsinki_Shipyard
<RUS> Aleksey_Chirikov_(icebreaker) | builder | Finland
<RUS> Aleksey_Chirikov_(icebreaker) | builder | Helsinki
<RUS> Aleksey_Chirikov_(icebreaker) | length | 99.83
<RUS> Aleksey_Chirikov_(icebreaker) | operator | Sovcomflot
<RUS> Aleksey_Chirikov_(icebreaker) | powerType | Wärtsilä
<RUS> Aleksey_Chirikov_(icebreaker) | shipBeam | 21.2
<RUS> Aleksey_Chirikov_(icebreaker) | status | "In service"
<RUS> Alfa_Romeo_164 | alternativeName | "Alfa Romeo 168"
<RUS> Alfa_Romeo_164 | assembly | Italy
<RUS> Alfa_Romeo_164 | assembly | Milan
<RUS> Alfa_Romeo_164 | bodyStyle | Sedan_(automobile)
<RUS> Alfa_Romeo_164 | class | "Mid-size luxury / Executive car"
<RUS> Alfa_Romeo_164 | class | Luxury_vehicle
<RUS> Alfa_Romeo_164 | engine | 2.5 (litres)
<RUS> Alfa_Romeo_164 | engine | Straight-four_engine
<RUS> Alfa_Romeo_164 | engine | V6_engine
<RUS> Alfa_Romeo_164 | relatedMeanOfTransportation | Saab_9000
<RUS> Alfa_Romeo_164 | transmission | "4-speed automatic (ZF 4HP18Q)"
<RUS> Alfa_Romeo_164 | transmission | "5-speed manual"
<RUS> Alfa_Romeo_164 | transmission | "6-speed manual (Getrag)"
<RUS> Alhambra | length | 63800.0 (millimetres)
<RUS> Alhambra | owner | P&O_(company)
<RUS> Alhambra | powerType | Humphrys,_Tennant_and_Dykes
<RUS> Alhambra | shipLaunch | 1855-05-31
<RUS> Alhambra | shipPower | "Geared steam engine Humphrys, Tennant and Dykes 140hp"
<RUS> Alliant_Techsystems | product | AGM-88_HARM
<RUS> Alliant_Techsystems | product | XM25_CDTE
<RUS> Alvis_Car_and_Engineering_Company | foundationPlace | Coventry
<RUS> Alvis_Car_and_Engineering_Company | locationCity | Coventry
<RUS> Alvis_Car_and_Engineering_Company | successor | Rover_Company
<RUS> Alvis_Speed_25 | class | "Full-size luxury car"
<RUS> Alvis_Speed_25 | class | Full-size_car
<RUS> Alvis_Speed_25 | engine | "Petrol"
<RUS> Alvis_Speed_25 | engine | 31.48 tax horsepower
<RUS> Alvis_Speed_25 | engine | 4387.0 (cubicCentimetres)
<RUS> Alvis_Speed_25 | manufacturer | Alvis_Car_and_Engineering_Company
<RUS> Alvis_Speed_25 | transmission | "single plate clutch, separate 4-speed gearbox all-silent and all-syncromesh, centre change lever, open tubular propellor shaft with metal joints , spiral bevel fully floating back axle"
<RUS> Alvis_Speed_25 | wheelbase | 127.0 (inches)
<RUS> American_Locomotive_Company | foundationPlace | Schenectady,_New_York
<RUS> American_Locomotive_Company | foundationPlace | United_States
<RUS> American_Locomotive_Company | locationCountry | United_States
<RUS> American_Motors | fate | Chrysler
<RUS> American_Motors | fate | Eagle_(automobile)
<RUS> American_Motors | keyPerson | Roy_D._Chapin,_Jr.
<RUS> American_Motors | subsidiary | Wheel_Horse
<RUS> American_Motors | successor | Eagle_(automobile)
<RUS> American_submarine_NR-1 | builder | General_Dynamics_Electric_Boat
<RUS> American_submarine_NR-1 | length | 45000.0 (millimetres)
<RUS> American_submarine_NR-1 | shipBeam | 3.8 m
<RUS> American_submarine_NR-1 | shipLaunch | 1969-01-25
<RUS> American_submarine_NR-1 | topSpeed | 8.334
<RUS> Antares_(rocket) | comparable | Delta_II
<RUS> Antares_(rocket) | diameter | 3.9 (metres)
<RUS> Antares_(rocket) | finalFlight | 2013-09-18
<RUS> Antares_(rocket) | finalFlight | 2014-07-13
<RUS> Antares_(rocket) | function | "Medium expendable launch system"
<RUS> Antares_(rocket) | launchSite | Mid-Atlantic_Regional_Spaceport
<RUS> Antares_(rocket) | maidenFlight | 2013-04-21
<RUS> Antares_(rocket) | maidenFlight | 2014-01-09
<RUS> Antares_(rocket) | maidenFlight | 2014-10-28
<RUS> Antares_(rocket) | manufacturer | Orbital_ATK
<RUS> Antares_(rocket) | manufacturer | Yuzhnoye_Design_Office
<RUS> Argentina | capital | Buenos_Aires
<RUS> Argentina | demonym | Argentines
<RUS> Argentina | leaderName | Mauricio_Macri
<RUS> Ariane_5 | diameter | 5.4 (metres)
<RUS> Ariane_5 | finalFlight | 2003-09-27
<RUS> Ariane_5 | finalFlight | 2004-12-18
<RUS> Ariane_5 | finalFlight | 2009-12-18
<RUS> Ariane_5 | launchSite | ELA-3
<RUS> Ariane_5 | maidenFlight | 1996-06-04
<RUS> Ariane_5 | maidenFlight | 2002-12-11
<RUS> Ariane_5 | maidenFlight | 2004-03-02
<RUS> Ariane_5 | maidenFlight | 2008-03-09
<RUS> Ariane_5 | manufacturer | "ESA and Arianespace"
<RUS> Ariane_5 | manufacturer | Arianespace
<RUS> Ariane_5 | manufacturer | European_Space_Agency
<RUS> Ariane_5 | partialFailures | 2
<RUS> Arianespace | locationCity | Courcouronnes
<RUS> Arianespace | locationCountry | France
<RUS> Aston_Martin_DBS | manufacturer | Aston_Martin
<RUS> Aston_Martin_DBS | successor | Aston_Martin_V8
<RUS> Aston_Martin_DBS | successor | Aston_Martin_Vantage
<RUS> Aston_Martin_V8 | assembly | "Newport Pagnell, Buckinghamshire, England, United Kingdom"
<RUS> Aston_Martin_V8 | assembly | Newport_Pagnell
<RUS> Aston_Martin_V8 | assembly | United_Kingdom
<RUS> Aston_Martin_V8 | bodyStyle | Coupé
<RUS> Aston_Martin_V8 | engine | 5.3 (litres)
<RUS> Aston_Martin_V8 | relatedMeanOfTransportation | Aston_Martin_DBS
<RUS> Aston_Martin_V8 | relatedMeanOfTransportation | Aston_Martin_RHAM/1
<RUS> Aston_Martin_V8 | successor | Aston_Martin_Virage
<RUS> Aston_Martin_Virage | relatedMeanOfTransportation | Aston_Martin_DBS
<RUS> Atlas_II | diameter | 3.04 m
<RUS> Atlas_II | finalFlight | 2002-12-05
<RUS> Atlas_II | finalFlight | 2004-08-31
<RUS> Atlas_II | launchSite | Cape_Canaveral_Air_Force_Station
<RUS> Atlas_II | launchSite | Spaceport_Florida_Launch_Complex_36
<RUS> Atlas_II | launchSite | Vandenberg_AFB_Space_Launch_Complex_3
<RUS> Atlas_II | manufacturer | Lockheed_Martin
<RUS> Audi | subsidiary | Ducati
<RUS> Audi | subsidiary | Lamborghini
<RUS> Audi | subsidiary | Quattro_GmbH
<RUS> Audi_A1 | assembly | "Brussels, Belgium"
<RUS> Audi_A1 | bodyStyle | Hatchback
<RUS> Audi_A1 | class | Supermini
<RUS> Audi_A1 | engine | 1.2 (litres)
<RUS> Audi_A1 | layout | Front-engine,_front-wheel-drive_layout
<RUS> Audi_A1 | manufacturer | Audi
<RUS> Audi_A1 | relatedMeanOfTransportation | Volkswagen_Polo
<RUS> Audi_A1 | transmission | "5-speed manual"
<RUS> Audi_A1 | transmission | "6-speed manual"
<RUS> Caterpillar_Inc. | foundationPlace | United_States
<RUS> Caterpillar_Inc. | location | Illinois
<RUS> Caterpillar_Inc. | location | United_States
<RUS> Costa_Crociere | location | Italy
<RUS> Costa_Crociere | parentCompany | Carnival_Corporation_&_plc
<RUS> DeSoto_Custom | manufacturer | DeSoto_(automobile)
<RUS> DeSoto_Custom | relatedMeanOfTransportation | Dodge_Coronet
<RUS> DeSoto_Custom | successor | DeSoto_Firedome
<RUS> Delta_II | countryOrigin | United_States
<RUS> Delta_II | launchSite | Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_17
<RUS> Delta_II | launchSite | Vandenberg_AFB_Space_Launch_Complex_2
<RUS> Delta_II | launchSite | Vandenberg_Air_Force_Base
<RUS> Delta_II | manufacturer | United_Launch_Alliance
<RUS> Dodge | keyPerson | Sergio_Marchionne
<RUS> ELA-3 | operator | Arianespace
<RUS> ELA-3 | site | Guiana_Space_Centre
<RUS> Fiat_Croma | relatedMeanOfTransportation | Opel_Vectra
<RUS> Fiat_Croma | relatedMeanOfTransportation | Saab_9000
<RUS> Finland | demonym | Finns
<RUS> Finland | leaderName | Juha_Sipilä
<RUS> Finland | leaderName | Sauli_Niinistö
<RUS> General_Dynamics_Electric_Boat | locationCity | Groton,_Connecticut
<RUS> General_Dynamics_Electric_Boat | parentCompany | General_Dynamics
<RUS> Germany | capital | Berlin
<RUS> Germany | leaderName | Andreas_Voßkuhle
<RUS> Germany | leaderName | Angela_Merkel
<RUS> Germany | leaderName | Joachim_Gauck
<RUS> Gruppo_Bertone | foundationPlace | Italy
<RUS> Gruppo_Bertone | foundationPlace | Turin
<RUS> Gruppo_Bertone | locationCity | Turin
<RUS> Gruppo_Bertone | locationCountry | Italy
<RUS> Guiana_Space_Centre | headquarter | French_Guiana
<RUS> Guiana_Space_Centre | location | French_Guiana
<RUS> Guiana_Space_Centre | location | Kourou,_French_Guiana
<RUS> Honda_Accord | manufacturer | Honda
<RUS> Honda_Accord | relatedMeanOfTransportation | Acura_TLX
<RUS> Honda_J_engine | manufacturer | Honda
<RUS> Humphrys,_Tennant_and_Dykes | location | Deptford
<RUS> Humphrys,_Tennant_and_Dykes | location | London
<RUS> Italy | capital | Rome
<RUS> Lancia_Thema | relatedMeanOfTransportation | Saab_9000
<RUS> Lockheed_Martin | location | Bethesda,_Maryland
<RUS> MTU_Friedrichshafen | locationCity | Friedrichshafen
<RUS> MTU_Friedrichshafen | owner | Rolls-Royce_Holdings
<RUS> MTU_Friedrichshafen | parentCompany | Rolls-Royce_Power_Systems
<RUS> Mid-Atlantic_Regional_Spaceport_Launch_Pad_0 | associatedRocket | Antares_(rocket)
<RUS> Mid-Atlantic_Regional_Spaceport_Launch_Pad_0 | associatedRocket | Minotaur_IV
<RUS> Mid-Atlantic_Regional_Spaceport_Launch_Pad_0 | associatedRocket | Minotaur_V
<RUS> Milan | saint | Ambrose
<RUS> Neptun_Werft | locationCity | Rostock
<RUS> Neptun_Werft | locationCountry | Germany
<RUS> P&O_(company) | location | London
<RUS> Plymouth_Plaza | manufacturer | Plymouth_(automobile)
<RUS> Plymouth_Plaza | relatedMeanOfTransportation | 1955_Dodge
<RUS> Plymouth_Plaza | successor | Plymouth_Satellite
<RUS> Richard_A._Teague | employer | Chrysler
<RUS> Richard_A._Teague | employer | General_Motors
<RUS> Rostock | country | Germany
<RUS> SEAT_Ibiza | relatedMeanOfTransportation | Audi_A1
<RUS> SEAT_Ibiza | relatedMeanOfTransportation | Volkswagen_Polo_Mk3
<RUS> Saab_9000 | relatedMeanOfTransportation | Alfa_Romeo_164
<RUS> Sovcomflot | keyPerson | Sergey_Naryshkin
<RUS> Spaceport_Florida_Launch_Complex_36 | operator | United_States_Air_Force
<RUS> United_Kingdom | capital | London
<RUS> United_Kingdom | leaderName | Elizabeth_II
<RUS> United_States | capital | Washington,_D.C.
<RUS> United_States | demonym | Americans
<RUS> United_States | ethnicGroup | African_Americans
<RUS> United_States | ethnicGroup | Asian_Americans
<RUS> United_States | ethnicGroup | White_Americans
<RUS> United_States | language | English_language
<RUS> United_States | leaderTitle | President_of_the_United_States
<RUS> Vandenberg_AFB_Space_Launch_Complex_3 | operator | United_States_Air_Force
<RUS> Vandenberg_Air_Force_Base | location | Lompoc,_California
<RUS> Volkswagen_Polo | relatedMeanOfTransportation | Audi_A1
<RUS> Yuzhnoye_Design_Office | location | Dnipropetrovsk
<RUS> Yuzhnoye_Design_Office | location | Ukraine
<RUS> A.C._Cesena | league | Serie_B
<RUS> A.C._Chievo_Verona | ground | Stadio_Marc'Antonio_Bentegodi
<RUS> A.C._Lumezzane | ground | Italy
<RUS> A.D._Isidro_Metapán | manager | Jorge_Humberto_Rodríguez
<RUS> A.E_Dimitra_Efxeinoupolis | numberOfMembers | 1500
<RUS> A.F.C._Blackpool | manager | Stuart_Parker_(footballer)
<RUS> A.F.C._Blackpool | manager | Stuart_Parker_(footballer)
<RUS> A.F.C._Fylde | ground | The_Fylde
<RUS> A.F.C._Fylde | numberOfMembers | 3180
<RUS> A.S._Livorno_Calcio | manager | Christian_Panucci
<RUS> A.S._Roma | ground | "Rome, Italy"
<RUS> ACF_Fiorentina | league | Serie_A
<RUS> AFC_Ajax | manager | Frank_de_Boer
<RUS> AFC_Ajax | owner | AFC_Ajax_N.V.
<RUS> AFC_Ajax_(amateurs) | ground | Amsterdam
<RUS> AFC_Ajax_(amateurs) | season | 2014–15_Topklasse
<RUS> AZAL_Arena | location | Shuvalan
<RUS> AZ_Alkmaar | fullname | "Alkmaar Zaanstreek"
<RUS> Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
<RUS> Agremiação_Sportiva_Arapiraquense | numberOfMembers | 17000
<RUS> Akron_Summit_Assault | ground | Akron,_Ohio
<RUS> Massimo_Drago | club | S.S._Chieti_Calcio
<RUS> 1._FC_Magdeburg | numberOfMembers | 27250
<RUS> A.C._Chievo_Verona | ground | "Verona, Italy"
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.D._Isidro_Metapán | manager | Jorge_Humberto_Rodríguez
<RUS> A.E_Dimitra_Efxeinoupolis | numberOfMembers | 1500
<RUS> A.F.C._Blackpool | manager | Stuart_Parker_(footballer)
<RUS> A.F.C._Blackpool | manager | Stuart_Parker_(footballer)
<RUS> A.F.C._Fylde | numberOfMembers | 3180
<RUS> A.S._Gubbio_1910 | numberOfMembers | 5300
<RUS> A.S._Livorno_Calcio | ground | Livorno
<RUS> A.S._Livorno_Calcio | manager | Christian_Panucci
<RUS> ACF_Fiorentina | manager | Paulo_Sousa
<RUS> ACF_Fiorentina | numberOfMembers | 47290
<RUS> AEK_Athens_F.C. | ground | Greece
<RUS> AEK_Athens_F.C. | ground | Olympic_Stadium_(Athens)
<RUS> AFC_Ajax_(amateurs) | ground | Sportpark_De_Toekomst
<RUS> AZAL_PFK | ground | AZAL_Arena
<RUS> Akron_Summit_Assault | season | 2011_PDL_season
<RUS> Gubbio | region | Umbria
<RUS> Italy | leader | Pietro_Grasso
<RUS> Luciano_Spalletti | club | Empoli_F.C.
<RUS> 1._FC_Köln | manager | Peter_Stöger
<RUS> 1._FC_Köln | manager | Peter_Stöger
<RUS> 1._FC_Köln | manager | Peter_Stöger
<RUS> 1._FC_Köln | numberOfMembers | 50000
<RUS> 1._FC_Köln | season | 2014
<RUS> 1._FC_Magdeburg | league | 3._Liga
<RUS> 1._FC_Magdeburg | manager | Jens_Härtel
<RUS> 1._FC_Magdeburg | manager | Jens_Härtel
<RUS> 1._FC_Magdeburg | manager | Jens_Härtel
<RUS> 1._FC_Magdeburg | manager | Jens_Härtel
<RUS> 1._FC_Magdeburg | season | 2014
<RUS> A.C._Cesena | ground | Cesena
<RUS> A.C._Cesena | ground | Cesena
<RUS> A.C._Cesena | ground | Italy
<RUS> A.C._Cesena | ground | Italy
<RUS> A.C._Cesena | ground | Stadio_Dino_Manuzzi
<RUS> A.C._Cesena | league | Serie_B
<RUS> A.C._Cesena | manager | Massimo_Drago
<RUS> A.C._Cesena | manager | Massimo_Drago
<RUS> A.C._Cesena | manager | Massimo_Drago
<RUS> A.C._Cesena | manager | Massimo_Drago
<RUS> A.C._Chievo_Verona | ground | "Verona, Italy"
<RUS> A.C._Chievo_Verona | ground | Stadio_Marc'Antonio_Bentegodi
<RUS> A.C._Chievo_Verona | ground | Verona
<RUS> A.C._Chievo_Verona | league | Serie_A
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.C._Chievo_Verona | manager | Rolando_Maran
<RUS> A.C._Lumezzane | fullname | "Associazione Calcio Lumezzane SpA"
<RUS> A.C._Lumezzane | league | "Lega Pro/A"
<RUS> A.C._Lumezzane | manager | Michele_Marcolini
